@relation regression-input-weka.filters.unsupervised.attribute.Remove-R1

@attribute Input_1 numeric
@attribute Input_2 numeric
@attribute Input_3 numeric
@attribute Input_4 numeric
@attribute Input_5 numeric
@attribute Input_6 numeric
@attribute Input_7 numeric
@attribute Input_8 numeric
@attribute Input_9 numeric
@attribute Input_10 numeric
@attribute Input_11 numeric
@attribute Input_12 numeric
@attribute Input_13 numeric
@attribute Input_14 numeric
@attribute Output numeric

@data
1628.3333,0.2322,-0.2317,0.2865,0.2169,0.2958,0.3344,0.0439,0.314,0.2653,0.6786,-0.0487,0.3317,0.2881,-0.8698
1628.5417,0.1177,-0.2914,0.1144,0.1055,0.0617,-0.1427,-0.0128,0.0891,0.0355,-0.3603,-0.2185,0.165,0.2324,-0.5042
1628.75,0.0604,-0.4107,-0.0577,0.1055,-0.0554,-1.0934,-0.1261,-0.192,-0.1368,-1.5395,-0.2751,-0.0573,-0.046,-0.4175
1628.9583,0.0032,-0.5897,-0.1151,-0.0058,-0.1139,0.7745,-0.2961,-0.192,-0.2518,-0.3498,-0.4449,-0.1128,-0.1017,-0.4438
1629.1667,-0.0541,-0.5897,-0.1151,-0.0058,-0.1724,-1.3647,-0.4094,-0.2482,-0.2518,0.9504,-0.5014,-0.1684,-0.1017,-0.1874
1629.375,-0.0541,-0.5897,-0.1725,-0.0615,-0.1724,-0.131,-0.4094,-0.2482,-0.2518,-1.2434,-0.5014,-0.1684,-0.046,-0.4886
1629.5833,-0.0541,-0.6493,-0.2299,-0.0615,-0.2309,-0.0229,-0.4094,-0.3606,-0.3667,0.1308,-0.5014,-0.1684,-0.1017,-1.0222
1629.7917,-0.1113,-0.5897,-0.2873,-0.2841,-0.2895,-0.6013,-0.4661,-0.4169,-0.4241,-0.2173,-0.5014,-0.1684,-0.1017,-1.3092
1630,-0.1686,-0.53,-0.3446,-0.3398,-0.4065,-1.4567,-0.4094,-0.3606,-0.4241,0.2139,-0.5014,-0.224,-0.1574,-1.5531
1630.2083,-0.2258,-0.4704,-0.402,-0.3955,-0.465,0.9455,-0.4094,-0.3606,-0.4816,2.1373,-0.558,-0.224,-0.1574,-1.5842
1630.4167,-0.2258,-0.4704,-0.4594,-0.2841,-0.4065,-2.1473,-0.3528,-0.3606,-0.539,-0.865,-0.558,-0.224,-0.1574,-1.6519
1630.625,-0.2258,-0.4704,-0.4594,-0.3398,-0.465,0.4678,-0.3528,-0.3606,-0.539,-0.609,-0.558,-0.224,-0.1574,-1.5598
1630.8333,-0.2258,-0.4704,-0.5168,-0.3398,-0.5236,0.3198,-0.4094,-0.5855,-0.539,1.1568,-0.558,-0.224,-0.1574,-1.4188
1631.0417,-0.2831,-0.4107,-0.5168,-0.3398,-0.5821,-0.1232,-0.3528,-0.5855,-0.654,0.4829,-0.5014,-0.224,-0.1574,-1.0397
1631.25,-0.2831,-0.4704,-0.4594,-0.3398,-0.465,0.5517,-0.3528,-0.5855,-0.654,0.1413,-0.4449,-0.224,-0.1574,-0.5208
1631.4583,-0.2831,-0.4704,-0.4594,-0.3398,-0.465,-0.6156,-0.3528,-0.4731,-0.539,0.0442,-0.4449,-0.224,-0.1017,-0.0668
1631.6667,-0.2258,-0.4704,-0.3446,-0.2841,-0.4065,-0.1792,-0.2961,-0.4169,-0.5965,0.1127,-0.3883,-0.224,-0.1017,-0.1972
1631.875,-0.1113,-0.3511,-0.2299,-0.1728,-0.2309,-1.0872,-0.2961,-0.3044,-0.4816,-0.5566,-0.3883,-0.1684,-0.1017,-0.3006
1632.0833,0.0032,-0.2914,-0.1151,-0.1728,-0.1724,0.1958,-0.2394,-0.2482,-0.3667,0.2224,-0.2751,-0.1128,-0.046,-0.2807
1632.2917,0.0604,-0.2317,-0.0577,-0.0615,-0.1139,0.311,-0.1828,0.0329,-0.1943,-0.163,-0.1619,-0.0573,0.0097,-0.3096
1632.5,0.1177,-0.1721,0.057,-0.0058,0.0617,-0.0296,-0.1828,0.2015,0.0355,-1.3271,-0.0487,0.0539,0.1211,-0.3753
1632.7083,0.175,0.0069,0.057,0.1055,0.0617,0.7349,-0.1261,0.0891,0.1504,0.0005,-0.1053,0.1094,0.1767,-0.3921
1632.9167,0.175,0.0069,0.057,0.1055,0.0617,-0.6202,-0.0695,0.1453,0.1504,0.8121,-0.1053,0.165,0.1767,-0.4003
1633.125,0.175,0.0069,0.057,0.1055,0.0617,0.2522,-0.0695,0.1453,0.2079,-0.9886,-0.1053,0.0539,0.1211,-0.4213
1633.3333,0.175,0.0069,-0.0004,0.1055,0.0617,0.0525,-0.0695,-0.0796,0.093,-1.2196,-0.2185,0.0539,0.1211,-0.1884
1633.5417,0.1177,-0.2317,-0.0004,0.0499,-0.0554,0.4833,-0.0695,-0.0796,0.0355,0.4122,-0.2185,-0.0573,-0.046,0.1398
1633.75,0.0032,-0.2317,-0.0577,-0.0058,-0.1139,0.1838,-0.1261,-0.192,-0.0219,0.9265,-0.2185,-0.1128,-0.046,0.2103
1633.9583,-0.0541,-0.2317,-0.0577,-0.0615,-0.1139,0.4576,-0.1261,-0.192,-0.0794,0.3353,-0.2185,-0.1128,-0.046,0.1384
1634.1667,-0.0541,-0.2317,-0.0577,-0.0615,-0.1139,0.9377,-0.1261,-0.192,-0.0794,-2.1205,-0.2751,-0.1684,-0.046,-0.0075
1634.375,-0.0541,-0.2317,-0.1151,-0.1171,-0.1724,-0.4118,-0.1261,-0.192,-0.1943,-0.5379,-0.2751,-0.1684,-0.1017,-0.2533
1634.5833,-0.1686,-0.2317,-0.1151,-0.2285,-0.1724,0.8825,-0.1828,-0.192,-0.1368,0.3638,-0.2185,-0.1684,-0.1017,-0.7019
1634.7917,-0.1113,-0.2317,-0.1151,-0.1728,-0.1724,0.0322,-0.1828,-0.192,-0.1368,-0.0579,-0.2185,-0.1684,-0.1017,-1.0256
1635,-0.1686,-0.2317,-0.1151,-0.1728,-0.1724,-0.7117,-0.1828,-0.192,-0.1943,-0.8372,-0.2185,-0.1684,-0.1017,-1.252
1635.2083,-0.1113,-0.2317,-0.1151,-0.1728,-0.1724,0.5268,-0.1828,-0.192,-0.1943,-1.6421,-0.2751,-0.1684,-0.1574,-1.3159
1635.4167,-0.1113,-0.2317,-0.1151,-0.1171,-0.1724,1.3106,-0.1828,-0.192,-0.1943,-0.8101,-0.2751,-0.1684,-0.1574,-1.397
1635.625,-0.1113,-0.2317,-0.1725,-0.1171,-0.2309,-1.1721,-0.1828,-0.192,-0.1943,1.8195,-0.2751,-0.1684,-0.1574,-1.3629
1635.8333,-0.1686,-0.2914,-0.2299,-0.2285,-0.2309,1.0803,-0.2394,-0.192,-0.2518,0.175,-0.2751,-0.1684,-0.1574,-1.1514
1636.0417,-0.1686,-0.2317,-0.2299,-0.2285,-0.2309,2.1691,-0.1828,-0.192,-0.1943,2.6393,-0.2751,-0.1684,-0.1574,-0.8464
1636.25,-0.1686,-0.2317,-0.2299,-0.2285,-0.2309,-0.9823,-0.1828,-0.192,-0.1943,-0.1246,-0.2751,-0.224,-0.213,-0.2169
1636.4583,-0.2258,-0.2317,-0.2299,-0.2285,-0.2309,-1.0248,-0.1828,-0.192,-0.2518,-2.4039,-0.2751,-0.224,-0.213,0.0369
1636.6667,-0.2258,-0.2317,-0.2299,-0.2285,-0.2309,-0.2529,-0.1828,-0.192,-0.1943,0.7244,-0.2185,-0.1684,-0.213,-0.0498
1636.875,-0.2258,-0.1721,-0.1725,-0.2285,-0.2309,0.5776,-0.1261,-0.192,-0.1943,1.4315,-0.1619,-0.1684,-0.213,-0.1177
1637.0833,-0.2258,-0.1721,-0.1725,-0.2285,-0.2309,-0.7482,-0.1261,-0.192,-0.1368,0.6987,-0.0487,-0.1684,-0.213,-0.1449
1637.2917,-0.2258,-0.1721,-0.1725,-0.2285,-0.2309,0.4859,-0.0695,-0.1358,-0.1368,-0.4144,-0.0487,-0.1684,-0.213,-0.1808
1637.5,-0.1686,-0.1124,-0.1725,-0.1171,-0.1724,-0.1606,-0.0128,-0.0796,-0.0794,-0.6171,-0.0487,-0.1684,-0.1017,-0.2174
1637.7083,-0.1113,-0.1721,-0.1151,-0.0615,-0.1139,-1.1869,0.0439,-0.0796,-0.0794,1.4815,-0.0487,-0.1128,-0.1017,-0.255
1637.9167,0.0032,-0.1721,-0.1151,-0.0058,-0.1139,0.2007,-0.0128,-0.0796,-0.0219,-1.1977,-0.0487,-0.1128,-0.1017,-0.1972
1638.125,0.0604,-0.0528,-0.1151,0.0499,-0.1139,0.1856,-0.0128,-0.1358,0.0355,1.7727,-0.0487,-0.1684,-0.1017,-0.2004
1638.3333,0.0604,-0.1721,-0.1151,-0.0058,-0.1139,0.3769,-0.0695,-0.1358,0.0355,0.3073,-0.0487,-0.1684,-0.1017,0.0809
1638.5417,0.0032,-0.1721,-0.1725,-0.0058,-0.1724,-1.0519,-0.0695,-0.1358,-0.0794,-0.1549,-0.0487,-0.1684,-0.1017,0.2764
1638.75,-0.1113,-0.1721,-0.1725,-0.1171,-0.1724,-0.9733,-0.0695,-0.192,-0.1368,-0.9608,-0.0487,-0.1684,-0.1017,0.2969
1638.9583,-0.1686,-0.1721,-0.1725,-0.0615,-0.1724,-0.8071,-0.0695,-0.192,-0.1368,0.1643,-0.1619,-0.1684,-0.213,0.2382
1639.1667,-0.1686,-0.1721,-0.1725,-0.1171,-0.2309,-0.2521,-0.0695,-0.192,-0.1368,1.8745,-0.1053,-0.1684,-0.213,0.0667
1639.375,-0.1686,-0.1721,-0.1725,-0.0615,-0.1724,-0.0814,-0.0695,-0.192,-0.0794,0.8718,-0.1053,-0.1684,-0.1017,-0.1806
1639.5833,-0.1686,-0.1721,-0.2299,-0.1728,-0.2309,0.0103,-0.0695,-0.192,-0.0794,-1.866,-0.1053,-0.1684,-0.1017,-0.5943
1639.7917,-0.1686,-0.1721,-0.2299,-0.1728,-0.2309,-0.8414,-0.0695,-0.192,-0.1368,-0.1563,-0.1053,-0.1684,-0.1017,-0.9783
1640,-0.1686,-0.2317,-0.1725,-0.1728,-0.1724,-0.1157,-0.0695,-0.1358,-0.0794,0.3739,-0.1053,-0.1684,-0.1017,-1.2321
1640.2083,-0.1686,-0.2317,-0.1725,-0.1728,-0.1724,-0.7705,-0.0128,-0.1358,-0.0794,0.9876,-0.1053,-0.1684,-0.1017,-1.3101
1640.4167,-0.1686,-0.1124,-0.1725,-0.1728,-0.1724,-0.8339,-0.0695,-0.0796,-0.0794,-0.8781,-0.1053,-0.1684,-0.1017,-1.3778
1640.625,-0.1686,-0.1124,-0.1725,-0.1728,-0.1724,-0.0855,-0.0128,-0.0796,-0.0794,-0.6799,-0.1053,-0.1684,-0.1017,-1.3922
1640.8333,-0.1113,-0.1124,-0.1725,-0.1171,-0.1724,0.7011,-0.0128,-0.0796,-0.0219,0.8092,-0.1053,-0.1128,-0.1017,-1.1856
1641.0417,-0.1113,-0.1124,-0.1725,-0.1171,-0.1724,0.8081,-0.0128,-0.0796,-0.0219,2.9153,-0.0487,-0.1128,-0.1017,-0.8688
1641.25,-0.1113,-0.1124,-0.1725,-0.1171,-0.1724,0.71,-0.0128,-0.0796,-0.0219,1.4913,-0.0487,-0.1128,-0.1017,-0.3286
1641.4583,-0.0541,-0.1124,-0.1151,-0.0615,-0.1139,0.1787,-0.0128,-0.0796,-0.0219,-0.7746,-0.0487,-0.1128,-0.1017,0.028
1641.6667,-0.0541,-0.1124,-0.0577,-0.0615,-0.1139,-0.6264,-0.0128,-0.0796,-0.0219,-0.3024,0.0079,-0.1128,-0.1017,-0.0818
1641.875,-0.0541,-0.0528,-0.0577,-0.0058,-0.1139,0.5198,0.0439,0.0329,0.0355,0.3669,0.0645,-0.0017,-0.046,-0.0867
1642.0833,0.0032,-0.0528,-0.0004,-0.0058,-0.0554,0.8153,0.1005,0.0329,0.093,0.5328,0.1211,-0.0017,-0.046,-0.0928
1642.2917,0.0032,0.1262,0.057,-0.0058,0.0032,0.5444,0.1005,0.1453,0.1504,0.2344,0.1211,0.0539,0.1211,-0.1295
1642.5,0.0604,0.1859,0.1144,-0.0058,0.1202,0.0729,0.1572,0.1453,0.2653,0.5726,0.1211,0.165,0.1767,-0.2685
1642.7083,0.175,0.2455,0.2291,0.0499,0.1787,-0.0974,0.2138,0.2577,0.4952,0.1171,0.1211,0.165,0.1767,-0.2707
1642.9167,0.2322,0.2455,0.2865,0.1612,0.2958,1.0811,0.2138,0.314,0.6101,0.7276,0.1777,0.2206,0.2881,-0.2405
1643.125,0.2895,0.2455,0.3439,0.1612,0.4128,0.4762,0.2138,0.3702,0.6101,-0.9084,0.2343,0.2206,0.2881,-0.2145
1643.3333,0.3467,0.2455,0.4013,0.1612,0.4714,0.5691,0.2705,0.3702,0.6101,-2.1233,0.2343,0.3317,0.3438,-0.2159
1643.5417,0.404,0.2455,0.4013,0.1612,0.4714,0.2425,0.2138,0.3702,0.5526,1.1382,0.2343,0.3317,0.3995,0.0382
1643.75,0.404,0.3052,0.4586,0.2725,0.4714,0.2639,0.2705,0.3702,0.4952,1.4182,0.2343,0.3873,0.3995,-0.0053
1643.9583,0.3467,0.3052,0.4013,0.3838,0.4128,-0.9991,0.2705,0.4264,0.4952,-1.8661,0.3475,0.3873,0.3995,-0.2509
1644.1667,0.2895,0.3052,0.4586,0.3838,0.4128,1.7314,0.3838,0.5388,0.4952,-0.1706,0.4041,0.3873,0.5108,-0.3513
1644.375,0.3467,0.3052,0.4586,0.3282,0.4128,-1.0041,0.3838,0.5388,0.4952,-0.9003,0.4607,0.4429,0.5665,-0.5921
1644.5833,0.2322,0.3052,0.4586,0.1055,0.4128,0.0848,0.4405,0.5388,0.5526,2.3172,0.5172,0.4984,0.6222,-0.9618
1644.7917,0.2895,0.3052,0.3439,0.2725,0.3543,0.9068,0.3838,0.4826,0.5526,0.2207,0.4607,0.4984,0.5665,-1.3844
1645,0.2322,0.3052,0.3439,0.2725,0.2958,0.5503,0.3838,0.4264,0.4952,-0.2139,0.4607,0.4984,0.4552,-1.7133
1645.2083,0.2895,0.3052,0.3439,0.3282,0.2958,0.8594,0.3838,0.4264,0.4377,-0.7258,0.5172,0.4984,0.4552,-1.8951
1645.4167,0.2322,0.3052,0.2865,0.3282,0.2958,-0.4192,0.4405,0.4264,0.3803,0.4188,0.5738,0.4984,0.4552,-2.0014
1645.625,0.175,0.3052,0.2865,0.2725,0.2958,0.9591,0.4405,0.4264,0.3803,0.641,0.5172,0.4429,0.4552,-2.1036
1645.8333,0.2895,0.3052,0.2865,0.1612,0.2958,2.2471,0.3838,0.4264,0.3803,1.6012,0.4607,0.3873,0.3995,-2.1067
1646.0417,0.1177,0.3052,0.2865,0.0499,0.2373,-0.3335,0.4405,0.314,0.3803,-0.45,0.4607,0.3873,0.3995,-1.9943
1646.25,0.1177,0.3052,0.2865,0.0499,0.2958,-0.8299,0.3838,0.4264,0.3803,-0.8317,0.4041,0.3317,0.3438,-1.8633
1646.4583,0.0032,0.3052,0.1718,-0.0615,0.1787,0.5962,0.3272,0.314,0.3803,-0.0362,0.4041,0.3317,0.3438,-1.6122
1646.6667,-0.1113,0.3648,0.2291,-0.1171,0.1787,2.2099,0.4405,0.4264,0.3803,-0.4183,0.4607,0.3317,0.2881,-1.2275
1646.875,-0.2258,0.4245,0.1718,-0.0058,0.1787,-1.0149,0.4405,0.5388,0.5526,1.1019,0.5738,0.3317,0.2881,-0.8338
1647.0833,-0.3404,0.4842,-0.0577,-0.2285,-0.0554,-0.8427,0.4405,0.4826,0.6675,-0.4853,0.6304,0.4429,0.2881,-0.6896
1647.2917,-0.5121,0.6631,-0.0577,-0.4511,-0.1139,0.4914,0.4405,0.0891,0.6101,0.218,0.5172,0.165,0.1211,-0.6207
1647.5,-0.5121,0.6035,-0.1151,-0.3955,-0.1724,0.0767,0.2705,0.2577,0.3228,2.6184,0.2909,-0.0017,-0.046,-0.8319
1647.7083,-0.5694,0.3052,-0.2299,-0.4511,-0.2309,-0.0695,0.2138,0.1453,0.2079,-0.8096,0.0079,-0.0573,-0.046,-1.0949
1647.9167,-0.5694,0.1859,-0.2873,-0.5625,-0.348,0.743,-0.1261,-0.0233,0.2079,0.0594,-0.1619,-0.1128,-0.1017,-1.186
1648.125,-0.6839,-0.1721,-0.3446,-0.6181,-0.4065,0.7165,-0.2394,-0.0796,0.0355,1.6351,-0.1619,-0.1684,-0.213,-1.2299
1648.3333,-0.7984,-0.2317,-0.4594,-0.7295,-0.5236,0.445,-0.2394,-0.192,-0.1368,-0.1187,-0.2751,-0.2796,-0.3244,-1.0936
1648.5417,-0.8557,-0.4704,-0.6889,-0.8408,-0.6991,0.3584,-0.3528,-0.3606,-0.3092,1.1565,-0.3883,-0.4463,-0.4914,-0.9563
1648.75,-0.9702,-0.53,-0.8036,-0.8965,-0.8162,0.259,-0.4661,-0.5293,-0.4241,0.1624,-0.5014,-0.5574,-0.6028,-0.8758
1648.9583,-1.0274,-0.5897,-0.861,-1.0078,-0.9332,-1.2635,-0.5227,-0.6417,-0.539,0.4264,-0.558,-0.613,-0.6028,-0.7211
1649.1667,-1.0847,-0.709,-0.9758,-1.0635,-0.9918,-0.5088,-0.6361,-0.6979,-0.654,-0.0697,-0.6712,-0.7241,-0.7142,-0.6437
1649.375,-1.0847,-0.7687,-1.0332,-1.0635,-1.0503,-1.665,-0.6927,-0.8666,-0.7689,-0.0837,-0.7844,-0.7797,-0.8255,-0.7517
1649.5833,-1.1419,-0.7687,-1.0905,-1.1748,-1.1673,-0.2839,-0.7494,-0.979,-0.8838,1.1745,-0.7844,-0.8353,-0.8812,-0.9155
1649.7917,-1.1992,-0.888,-1.2053,-1.1748,-1.2844,0.82,-0.7494,-1.0352,-0.9412,-0.3111,-0.8976,-1.002,-0.9926,-1.162
1650,-1.3137,-0.888,-1.2627,-1.2305,-1.3429,0.8307,-0.806,-1.1477,-1.1136,0.9063,-0.8976,-1.1131,-1.104,-1.236
1650.2083,-1.371,-1.0073,-1.32,-1.1748,-1.4014,1.5867,-0.8627,-1.2601,-1.1711,2.317,-0.9542,-1.1687,-1.104,-1.334
1650.4167,-1.4855,-0.9476,-1.4922,-1.2861,-1.5185,-0.2295,-0.976,-1.2601,-1.2285,0.4746,-1.0108,-1.2798,-1.2153,-1.3092
1650.625,-1.4282,-1.1266,-1.4922,-1.4531,-1.577,1.1592,-0.976,-1.2601,-1.3434,0.6347,-1.0108,-1.2798,-1.2153,-1.2868
1650.8333,-1.5427,-1.2459,-1.5495,-1.5088,-1.577,1.4793,-1.0893,-1.4288,-1.4583,1.3694,-1.0674,-1.391,-1.271,-1.1291
1651.0417,-1.6,-1.2459,-1.6643,-1.5088,-1.577,-0.5251,-1.0893,-1.6536,-1.5158,-0.2564,-1.124,-1.5021,-1.3824,-0.8566
1651.25,-1.6573,-1.2459,-1.7217,-1.6201,-1.6941,-0.3644,-1.2027,-1.7098,-1.5733,1.9366,-1.2372,-1.5021,-1.438,-0.5604
1651.4583,-1.6573,-1.3056,-1.7217,-1.5645,-1.7526,1.6994,-1.316,-1.7661,-1.6307,0.9058,-1.2938,-1.6132,-1.4937,-0.2803
1651.6667,-1.6,-1.1863,-1.5495,-1.5645,-1.5185,0.2722,-1.3726,-1.5974,-1.4583,0.2056,-1.2372,-1.4465,-1.3824,-0.2628
1651.875,-1.2565,-1.0669,-1.2053,-1.2861,-1.2259,0.3291,-1.146,-1.1477,-1.1136,-0.0196,-1.0674,-1.1687,-1.1596,-0.4151
1652.0833,-1.0847,-0.9476,-0.9758,-1.1191,-1.0503,1.1138,-0.9194,-0.9228,-0.9412,-0.5857,-0.8976,-0.8908,-0.8812,-0.5112
1652.2917,-0.9129,-0.9476,-0.8036,-0.8408,-0.9332,1.2515,-0.7494,-0.8104,-0.8263,-1.6181,-0.7844,-0.7241,-0.7142,-0.7235
1652.5,-0.7984,-0.888,-0.7463,-0.7295,-0.8747,1.8998,-0.6927,-0.7542,-0.7689,0.116,-0.6712,-0.6685,-0.6028,-0.907
1652.7083,-0.6266,-0.8283,-0.6315,-0.6181,-0.6991,1.1925,-0.6361,-0.6979,-0.7114,-2.3261,-0.558,-0.613,-0.5471,-1.0226
1652.9167,-0.5694,-0.8283,-0.6315,-0.5625,-0.6991,0.1455,-0.5227,-0.5855,-0.654,-0.7165,-0.558,-0.4463,-0.4358,-1.1613
1653.125,-0.5694,-0.8283,-0.5741,-0.5625,-0.6406,-0.2529,-0.5227,-0.5855,-0.654,0.6158,-0.5014,-0.5018,-0.4358,-1.0812
1653.3333,-0.5121,-0.9476,-0.6315,-0.5625,-0.6991,0.5165,-0.5227,-0.5855,-0.654,0.6352,-0.558,-0.613,-0.5471,-0.7708
1653.5417,-0.6839,-1.1863,-0.8036,-0.6738,-0.9332,0.6892,-0.6361,-0.9228,-1.0562,-0.1018,-0.7844,-0.8353,-0.6585,-0.2273
1653.75,-0.9129,-1.3056,-1.2053,-0.8965,-1.2259,-0.1806,-0.806,-1.3163,-1.3434,-0.8068,-1.0108,-1.0575,-0.8812,-0.2515
1653.9583,-1.0274,-1.3652,-1.2627,-0.8965,-1.2844,-1.1317,-1.0327,-1.3725,-1.4009,-0.3282,-1.0108,-1.0575,-0.9926,-0.2949
1654.1667,-1.0847,-1.4845,-1.3774,-1.0635,-1.4014,1.3913,-1.146,-1.485,-1.5158,-0.1524,-1.1806,-1.1687,-1.1596,-0.3732
1654.375,-1.0847,-1.4845,-1.4348,-0.9521,-1.4014,-1.8517,-1.146,-1.5412,-1.5158,-0.8505,-1.2372,-1.1687,-1.1596,-0.4876
1654.5833,-0.9702,-1.6039,-1.3774,-0.9521,-1.3429,-1.416,-1.146,-1.6536,-1.5733,-1.4004,-1.2938,-1.1687,-1.1596,-0.7383
1654.7917,-1.0847,-1.6039,-1.5495,-0.9521,-1.5185,-0.5293,-1.2027,-1.6536,-1.6307,0.5468,-1.2938,-1.2243,-1.1596,-1.1399
1655,-1.1419,-1.6039,-1.5495,-1.1191,-1.5185,1.8635,-1.2027,-1.6536,-1.6882,1.5601,-1.1806,-1.2243,-1.104,-1.2901
1655.2083,-1.1419,-1.6635,-1.6643,-1.0078,-1.6356,-0.0511,-1.2593,-1.7098,-1.6882,-0.3665,-1.2372,-1.2798,-1.104,-1.4017
1655.4167,-1.2565,-1.6039,-1.6643,-1.1191,-1.6356,0.2384,-1.2027,-1.7661,-1.7456,1.0624,-1.1806,-1.391,-1.1596,-1.4111
1655.625,-1.3137,-1.6039,-1.7217,-1.2305,-1.6941,0.811,-1.2027,-1.7661,-1.7456,0.3402,-1.4069,-1.391,-1.2153,-1.4317
1655.8333,-1.371,-1.6039,-1.7217,-1.1748,-1.6941,-1.5102,-1.2027,-1.7661,-1.8031,-1.8455,-1.3504,-1.5021,-1.271,-1.2342
1656.0417,-1.4855,-1.7232,-1.7217,-1.2861,-1.7526,0.3682,-1.2593,-1.7661,-1.8031,-1.1859,-1.4635,-1.5577,-1.3267,-1.0698
1656.25,-1.4282,-1.6635,-1.7791,-1.2305,-1.7526,-0.2507,-1.316,-1.7661,-1.8031,0.1226,-1.4635,-1.6132,-1.3824,-0.764
1656.4583,-1.3137,-1.5442,-1.7217,-1.2861,-1.7526,-0.9101,-1.3726,-1.7661,-1.6882,1.0199,-1.4635,-1.6688,-1.438,-0.4541
1656.6667,-1.1992,-1.3056,-1.6069,-1.1748,-1.577,-0.3398,-1.316,-1.5974,-1.4583,-0.6514,-1.2938,-1.5021,-1.3267,-0.2809
1656.875,-0.9702,-0.4704,-1.1479,-0.9521,-1.1673,2.1142,-1.0327,-1.0352,-1.0562,0.6653,-0.6712,-1.1131,-1.0483,-0.2435
1657.0833,-0.6839,-0.2914,-0.9184,-0.6181,-0.9332,0.9009,-0.6927,-0.7542,-0.654,-0.4448,-0.3883,-0.6685,-0.7699,-0.3664
1657.2917,-0.5694,-0.2317,-0.7463,-0.4511,-0.7577,0.8794,-0.3528,-0.6417,-0.2518,-0.2133,-0.1619,-0.5574,-0.6028,-0.5221
1657.5,-0.5121,-0.1721,-0.6889,-0.4511,-0.7577,1.8267,-0.2394,-0.5293,-0.1943,0.7076,-0.1619,-0.3907,-0.4914,-0.6239
1657.7083,-0.3976,-0.1721,-0.6315,-0.3955,-0.6991,-0.0263,-0.1261,-0.3606,-0.0219,-1.3411,-0.1053,-0.4463,-0.4914,-0.7509
1657.9167,-0.2831,-0.1721,-0.6315,-0.3398,-0.6406,0.7916,-0.1828,-0.3606,0.0355,-0.5363,-0.1619,-0.4463,-0.4914,-0.6893
1658.125,-0.2831,-0.1721,-0.6315,-0.2841,-0.6406,0.8817,-0.1261,-0.4169,0.0355,-0.763,-0.1619,-0.4463,-0.5471,-0.5617
1658.3333,-0.3404,-0.1721,-0.6889,-0.3955,-0.6406,2.028,-0.1261,-0.5293,0.0355,-0.2379,-0.2185,-0.5018,-0.6028,-0.2825
1658.5417,-0.3976,-0.1721,-0.6315,-0.4511,-0.6406,0.0963,-0.1261,-0.5293,-0.0219,1.6336,-0.1619,-0.5018,-0.6028,-0.1101
1658.75,-0.4549,-0.1721,-0.6889,-0.4511,-0.6991,0.2577,-0.1828,-0.5293,-0.0794,0.0111,-0.2185,-0.5574,-0.6585,-0.1291
1658.9583,-0.5694,-0.1721,-0.7463,-0.5068,-0.6406,0.7613,-0.1261,-0.4731,-0.1943,0.5291,-0.1619,-0.4463,-0.6028,-0.2699
1659.1667,-0.6266,-0.1721,-0.6889,-0.5068,-0.6406,2.0924,-0.1261,-0.3044,-0.2518,-0.544,-0.1619,-0.2796,-0.4914,-0.4333
1659.375,-0.6266,-0.1721,-0.6315,-0.4511,-0.5821,-0.3256,-0.1261,-0.2482,-0.1943,-0.3908,-0.0487,-0.224,-0.4914,-0.563
1659.5833,-0.6266,-0.1721,-0.5741,-0.4511,-0.5821,0.787,-0.0695,-0.192,-0.0794,-0.7796,-0.0487,-0.224,-0.4358,-0.8604
1659.7917,-0.5694,-0.0528,-0.5741,-0.4511,-0.5236,-0.2931,-0.0695,-0.1358,-0.0219,-0.8071,-0.0487,-0.1684,-0.4358,-1.2339
1660,-0.5121,0.1262,-0.5168,-0.4511,-0.465,-1.2468,-0.0695,-0.0233,0.093,0.5218,-0.0487,-0.1684,-0.3801,-1.4427
1660.2083,-0.4549,-0.0528,-0.5168,-0.4511,-0.465,-0.6307,-0.0128,-0.0233,0.093,0.6891,0.0079,-0.1128,-0.3801,-1.6367
1660.4167,-0.4549,-0.0528,-0.5168,-0.4511,-0.465,0.0119,0.0439,-0.0233,0.093,2.4375,0.0079,-0.1128,-0.213,-1.671
1660.625,-0.5121,0.0069,-0.5168,-0.3955,-0.465,-0.9569,0.1005,-0.1358,0.093,-0.7026,0.1211,-0.1128,-0.2687,-1.7309
1660.8333,-0.5121,-0.1721,-0.5168,-0.4511,-0.4065,-0.5982,0.1572,-0.192,-0.0794,-0.3753,0.1211,-0.1684,-0.2687,-1.6564
1661.0417,-0.4549,-0.1721,-0.5168,-0.3955,-0.465,-0.0848,0.1572,-0.3044,-0.0794,-0.9211,0.1211,-0.224,-0.2687,-1.5487
1661.25,-0.5121,-0.1721,-0.5168,-0.3955,-0.465,-1.3594,0.1005,-0.192,-0.1943,0.2473,0.1211,-0.1684,-0.3801,-1.3249
1661.4583,-0.6266,-0.2317,-0.5741,-0.4511,-0.5821,-0.5612,0.0439,-0.3044,-0.2518,0.0375,0.0079,-0.2796,-0.5471,-1.0245
1661.6667,-0.5694,-0.2317,-0.5741,-0.4511,-0.5821,-0.2699,0.0439,-0.3606,-0.2518,0.4771,0.0079,-0.3351,-0.4358,-0.722
1661.875,-0.3976,-0.1721,-0.402,-0.2285,-0.465,-0.2008,0.0439,-0.3044,-0.1943,-1.6011,0.0079,-0.3351,-0.3801,-0.6169
